airport_identifier,num_metar_with_FZ_abbr
ENNM,2337
ENGM,1390
ENRO,784
ENAN,756
ENTO,706
ENKR,596
ENRY,557
ENDU,455
ENUG,452
ENHF,449
ENSS,435
ENAT,420
ENCN,398
ENNA,362
ENKB,289
ENRS,269
ENBS,256
ENEV,251
ENSG,216
ENSB,212
ENUN,203
ENBV,189
ENVD,181
ENNO,152
ENMH,148
ENRA,144
ENMS,125
ENVA,122
ENRM,109
ENBO,107
ENBL,92
ENBJ,90
ENBN,73
ENHK,69
ENTC,67
ENZV,60
ENNE,58
ENHO,56
ENOL,55
ENAL,50
ENFB,47
ENDR,46
ENHV,45
ENSR,41
ENSL,38
ENQR,34
ENHD,33
ENSH,32
ENAS,31
ENHE,27
ENOV,23
ENML,22
ENBR,21
ENSD,20
ENSK,19
ENJA,16
ENLA,15
ENQA,15
ENGK,15
ENSE,15
ENSF,15
ENSA,14
ENQC,14
ENJS,12
ENFL,10
ENOA,8
ENST,6
ENGC,5
ENWG,3
ENDP,3
ENHM,2
ENLK,2
ENWV,2
ENUS,1
