airport_identifier,num_metar_with_FZ_abbr_NOT_AUTO
ENGM,1390
ENTO,444
ENKR,388
ENDU,345
ENRO,252
ENSB,212
ENRY,200
ENSG,180
ENNO,152
ENCN,136
ENVD,121
ENNM,112
ENVA,107
ENMS,95
ENRA,91
ENBJ,90
ENNA,90
ENSS,73
ENBO,68
ENBS,66
ENBL,63
ENEV,59
ENTC,58
ENZV,57
ENHO,56
ENOL,55
ENHF,47
ENRM,46
ENBV,43
ENAT,37
ENAS,31
ENHE,27
ENSR,27
ENMH,25
ENBR,19
ENJA,16
ENSD,16
ENGK,15
ENSA,14
ENBN,14
ENUN,13
ENJS,12
ENOV,11
ENAN,9
ENOA,8
ENRS,8
ENHD,7
ENST,6
ENML,5
ENNE,5
ENKB,5
ENGC,5
ENHV,4
ENHK,4
ENLK,2
ENSH,2
