airport_identifier,num_metar_in_time_period_AUTO
ENUG,69336
ENWV,69315
ENQA,69269
ENLA,69157
ENSL,69047
ENFB,68885
ENSE,68844
ENQC,68415
ENQR,67787
ENDR,66270
ENSF,64101
ENUN,59754
ENHM,54717
ENRO,41949
ENRY,36976
ENNE,33572
ENQM,29988
ENHD,29794
ENNA,29462
ENFL,28308
ENKB,27007
ENUS,26404
ENAN,24931
ENBN,24136
ENML,24070
ENQJ,23656
ENWG,23115
ENTO,20616
ENAT,20431
ENHV,20310
ENCN,20000
ENRS,19495
ENAL,19091
ENHK,17584
ENBS,17133
ENKR,17131
ENSR,16910
ENBV,15964
ENSS,15724
ENHF,15686
ENEV,13504
ENMH,13388
ENNM,13074
ENSK,12700
ENRM,12399
ENSD,12383
ENDP,12357
ENDU,11739
ENRA,11322
ENOV,10836
ENMS,9920
ENVD,9070
ENUB,8956
ENXW,8888
ENSG,7206
ENSH,6432
ENBL,5865
ENVA,5002
ENTC,4654
ENBO,4514
ENZV,2526
ENBR,2403
ENUD,582
ENHE,17
ENGC,1
ENSB,1
ENOA,1
