airport_identifier,num_metar_without_oil_total
ENKB,71980
ENCN,71063
ENTO,71041
ENGM,70982
ENHF,70975
ENAL,70948
ENDU,70737
ENBR,70598
ENKR,70532
ENHD,70458
ENFL,70453
ENNA,70449
ENAN,70417
ENBN,70384
ENTC,70099
ENRO,69798
ENBO,69797
ENZV,69688
ENML,69581
ENVA,69541
ENRY,69446
ENEV,69395
ENOL,68697
ENAT,68584
ENSB,61973
ENVD,55736
ENRA,52521
ENMS,50602
ENSD,50248
ENOV,50161
ENSK,48996
ENBS,44587
ENRM,44196
ENHV,43984
ENBL,43127
ENNM,42307
ENBV,42134
ENSG,41721
ENSS,41710
ENST,41173
ENSR,40814
ENHK,40720
ENRS,38891
ENSH,37985
ENMH,35896
ENBJ,34965
ENLK,34666
ENSO,22191
ENNO,22086
ENJA,5206
ENSA,4943
ENAS,4366
ENVR,4044
ENHO,3939
ENGK,3611
